fip_code,state_fip
09003,9
09005,9
09013,9
09015,9
10001,10
10003,10
10005,10
24003,24
24005,24
24009,24
24011,24
24013,24
24015,24
24017,24
24019,24
24025,24
24027,24
24029,24
24031,24
24033,24
24035,24
24037,24
24041,24
24045,24
24047,24
24510,24
25001,25
25003,25
25005,25
25007,25
25009,25
25013,25
25017,25
25019,25
25021,25
25023,25
25025,25
25027,25
36001,36
36021,36
36027,36
36039,36
36083,36
36093,36
42001,42
42011,42
42017,42
42029,42
42045,42
42071,42
42075,42
42077,42
42091,42
42101,42
42107,42
42133,42
44001,44
44003,44
44007,44
51001,51
51007,51
51011,51
51013,51
51029,51
51033,51
51036,51
51041,51
51049,51
51053,51
51057,51
51059,51
51061,51
51065,51
51073,51
51075,51
51085,51
51087,51
51093,51
51095,51
51097,51
51099,51
51101,51
51103,51
51109,51
51115,51
51119,51
51127,51
51131,51
51133,51
51135,51
51137,51
51145,51
51147,51
51149,51
51153,51
51159,51
51177,51
51179,51
51181,51
51193,51
51199,51
51510,51
51550,51
51570,51
51600,51
51610,51
51630,51
51650,51
51670,51
51683,51
51685,51
51700,51
51710,51
51730,51
51735,51
51740,51
51760,51
51800,51
51810,51
51830,51
42103,42
42089,42
42095,42
42127,42
42025,42
36095,36
36077,36
36025,36
36007,36
36017,36
42069,42
42115,42
